stn_code,state,location,type,so2,no2,rspm,pm2_5_x,date,year,month,day,co_gt,nox_gt,no2_gt,o3_gt,so2_gt,pm10,temperature,humidity,pressure,windspeed,winddirection,co_nox_ratio,nox_no2_ratio,temp_humidity_index,airqualityindex,co_ma3,no2_ma3,o3_ma3
55,2,22,2,4.0,41.0,267.0,62.0,2015-02-02,2015,2,2,5.034502279891777,125.89536596858034,95.43463401526247,85.8953677026151,28.73451889977675,136.55703525016148,19.27530342254202,64.48165869960845,999.6851433114056,8.899048421952468,172.96176913953352,0.1130452311306136,2.7206188815463563,12.355110472490066,239.41831631987304,5.198151877557519,95.53119019019262,90.51131312439652
55,2,22,2,4.0,48.0,241.0,62.0,2015-02-10,2015,2,10,4.1803056857358385,149.89600073976624,93.05889278103412,78.0654000464897,30.964633530973305,132.73173242155576,17.898137523669003,63.99072690925333,1009.260224443708,9.299929747057227,135.87283129830357,0.1418110764209766,4.38872988429999,12.326764448903075,232.86148192642975,4.370808743673806,94.63773824090282,79.06928209468305
55,2,22,2,4.0,42.0,268.0,63.0,2015-02-18,2015,2,18,5.461796596395381,131.7155724428116,94.5376271137904,69.21782254409665,29.68078247738499,173.0288308884159,16.88357039306266,54.84073400704224,997.2186224965365,8.82686443629242,198.36629363099783,0.0843526594565865,2.085679177752506,8.96360284023309,267.74692193643244,5.553703407395649,96.92594960937149,65.90002968043545
55,2,22,2,4.0,39.0,210.0,57.0,2015-02-26,2015,2,26,5.850784590931539,168.70847190212854,110.57289576333528,87.59629987446296,28.147172948477845,154.20608411535298,14.21358690223584,54.07632878089686,1008.6924607550663,10.449956305025824,178.48791362122915,0.0646681483961461,3.3636049791096787,8.861710897927862,228.1254578399745,5.821733678784086,111.19316981688232,87.1264545969314
55,2,22,2,4.0,39.0,199.0,44.0,2015-03-04,2015,3,4,4.416282807571494,147.40771053263387,106.9888558187422,86.99163647275624,32.28964972934981,144.8488803348592,23.86883437188982,59.64352233004802,989.9746016688106,9.734567611442998,142.8362152506692,0.0500092479836883,2.693028920299534,14.155693921235477,270.7153397473562,4.635170515479842,107.84305850002904,90.52749689932192
55,2,22,2,4.0,38.0,199.0,47.0,2015-03-10,2015,3,10,5.682077453973797,166.2703869811636,92.66221945694576,85.34363381938878,25.79874927781669,153.85960290040433,21.086563629946607,57.30213957827536,1007.2840717296226,10.971027992745894,201.5069653912749,0.0581718438001455,3.473377844733687,11.40815918483174,233.23128784665732,5.736820562728539,93.98776024713386,88.95132802286707
55,2,22,2,4.0,47.0,219.0,47.0,2015-03-18,2015,3,18,6.070454336982011,137.67427382790282,101.62284247622,90.0111902848681,25.53485785498784,154.45696186660643,9.690813234310554,54.77057844671384,1006.681803613516,9.69620231042243,181.85767051323248,0.1492477297526581,4.091024174796414,5.552185859337988,251.68366372552035,5.9703040523441,102.35127699652826,90.53454486659112
55,2,22,2,4.0,43.0,228.0,58.0,2015-04-17,2015,4,17,5.795759041842316,140.9765331116651,124.34190738811184,93.11568424302344,22.6296860734348,164.6309360268798,22.103109135669115,53.67251657645303,986.8017421512094,12.50861730897253,188.6487304522814,0.1653392016895619,1.8595818090155347,11.473391128304709,233.68316551492003,5.570800999657642,123.48504461108026,93.21570896826717
55,2,22,2,4.0,38.0,219.0,53.0,2015-04-27,2015,4,27,4.527257300634937,151.89979118994856,106.66102327263764,79.7538584878822,26.360070656311027,140.30616144074398,20.086141148486927,61.35880907502261,1001.305068720578,10.45491426519678,174.8914704529544,0.1072182284161337,2.652357007153052,12.707278297101462,236.5394184575913,4.427555350705375,108.21954079525598,80.888061359779
55,2,22,2,4.0,39.0,209.0,29.0,2015-05-01,2015,5,1,5.304320942355072,134.81017231219778,92.48773127266357,97.2761077264002,26.366912084036,163.0492511877097,21.820894465553636,56.52153749273694,996.6181632942896,8.0507323023719,205.80665217975525,0.0929483856239292,4.148170758905935,12.261661632421914,274.0324824793358,5.037121725248853,93.6687233897572,93.88370962175394
